movie_id,movie_name,director,star,genre
tt14824600,The Lord of the Rings: The War of the Rohirrim,Kenji Kamiyama,Brian Cox#Miranda Otto#Bilal Hasna#Shaun Dooley,fantasy
tt21692408,Kung Fu Panda 4,Angelina Jolie#Seth Rogen#Jackie Chan#James Hong,,fantasy
tt5779228,Garfield,Mark Dindal,Nicholas Hoult#Hannah Waddingham#Chris Pratt#Cecily Strong,fantasy
tt11152168,Imaginary Friends,John Krasinski,Ryan Reynolds#John Krasinski#Steve Carell#Phoebe Waller-Bridge,fantasy
tt22084616,Untitled Spider-Man Sequel,Tom Holland,,fantasy
tt22022452,Inside Out 2,Kelsey Mann,Diane Lane#Amy Poehler#Phyllis Smith#Lewis Black,fantasy
tt11655566,Lilo & Stitch,Dean Fleischer Camp,Chris Sanders,fantasy
tt0427340,Masters of the Universe,Aaron Nee#Adam Nee,Kyle Allen,fantasy
tt5834410,The Tiger's Apprentice,Raman Hui#Yong Duk Jhun#Paul Watling,Michelle Yeoh#Henry Golding#Sandra Oh#Bowen Yang,fantasy
tt16360004,Spider-Man: Beyond the Spider-Verse,Joaquim Dos Santos#Kemp Powers#Justin K. Thompson,Shameik Moore,fantasy
tt4900148,Elio,Adrian Molina,America Ferrera#Yonas Kibreab,fantasy
tt9613354,The Hunchback of Notre Dame,,,fantasy
tt5006214,Nicktoons,Jared Hess,Amy Poehler#Dee Bradley Baker#Mason Vale Cotton#Richard Steven Horvitz,fantasy
tt1167480,Flanimals,,,fantasy
tt5880374,1000: The Sword in the Stone,Guido Maria Giordano,Kincso Nora Petho#Imola Gáspár#Carmine Iacono#Marco Lorenzo Valle,fantasy
tt23040026,The Charlotte in Multilink World Movie,Kelvin Kibuuka,Charlotte Mills#Emily Hamilton#Brooke Passingham#Maria Burdett-Clark,fantasy
tt26446463,Dark Suns II - Binary Sunset,Keon Etminan#Luca Zapata,,fantasy
tt24218194,Volshebnik Izumrudnogo goroda,Igor Voloshin,,fantasy
tt22796470,The Elvish Princess,Wendy-Anne Daloz,,fantasy
tt12571788,Coven of Dixon Cliff,,,fantasy
tt23752846,Artek. Bolshoe puteshestvie. 1812,Karen Zaharov,Mikhail Galustyan#Aleksey Onezhen#Lyudmila Artemeva#Liza Moryak,fantasy
tt20854202,Requiem of Dreams,John-Paul Casella,Sophia Casella#Lev Kozlovsky#Gianna Ray#Kameron Ray,fantasy
tt18163814,Stockholm Bloodbath,Mikael Håfström,Sophie Cookson#Alba August#Emily Beecham#Claes Bang,history
tt25049058,The Queen of Heaven,Yiannis Stravolaimos,John Fiore#Yorgos Karamihos#George Angelopoulos#Yorgo Voyagis,history
tt13433802,A Quiet Place: Day One,Michael Sarnoski,Lupita Nyong'o#Joseph Quinn#Alex Wolff,horror
tt10671440,Blade,Yann Demange,Mahershala Ali#Delroy Lindo#Aaron Pierre,horror
tt22525332,Untitled M. Night Shyamalan Project,M. Night Shyamalan,,horror
tt23468450,Longlegs,Oz Perkins,Nicolas Cage#Maika Monroe,horror
tt21942866,Dream Scenario,Kristoffer Borgli,Nicolas Cage#Michael Cera#Tim Meadows#Julianne Nicholson,horror
